show_id;title;synopsis;release_year;date_added;duration;content_type_id_fk;rating_id_fk
70243445;Hit & Run;Determined to get his fiancée to L.A. to take advantage of an amazing opportunity Charlie breaks out of the witness protection program to drive her.;2012;2019-11-08;100 min;2;6
80201542;Let It Snow;A snowstorm hits a small town on a cold Christmas Eve affecting the friendships love lives and futures of several high school seniors.;2019;2019-11-08;93 min;2;10
81079723;Paradise Beach;Mehdi gets out of prison planning to settle old scores. But first he must reconnect with his gang now living in an idyllic beach resort in Thailand.;2019;2019-11-08;94 min;2;4
81013505;The Great British Baking Show: Holidays;Deck the halls with sugar butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith.;2019;1900-01-01;2 Seasons;1;5
80230435;Wild District;After surrendering to Bogotá police an ex-guerrilla avoids prison by working undercover to investigate a ruthless enforcer of government corruption.;2019;1900-01-01;2 Seasons;1;4
80127886;U Turn;A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.;2016;2019-11-07;121 min;2;1
81092045;Burning Cane;A small-town Louisiana minister and one of his parishioners cope with grief alcoholism and a crisis of faith in this dramatic character study.;2019;2019-11-06;78 min;2;4
81153751;SCAMS;Hit hard by the Lehman shock a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.;2019;2019-11-06;1 Season;1;1
81034600;Shadow;As three kingdoms struggle for control of a walled city a figure with a rare power spins a web of intrigue that entangles a king's court.;2018;2019-11-06;116 min;2;4
81209203;Luccas Neto in: Summer Camp;Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.;2019;2019-11-05;87 min;2;2
81042948;Millennials;A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating.;2019;1900-01-01;2 Seasons;1;4
80027564;Sam & Cat;To earn cash roommates Sam and Cat start a baby-sitting service – and quickly discover just what an adventure baby-sitting can be.;2014;1900-01-01;2 Seasons;1;5
81058497;Seth Meyers: Lobby Baby;SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.;2019;2019-11-05;61 min;2;4
80179762;She-Ra and the Princesses of Power;Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion but her best friend stays with the evil Horde.;2019;1900-01-01;4 Seasons;1;11
80175722;The End of the F***ing World;A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.;2019;1900-01-01;2 Seasons;1;4
80167628;The Lovers;On the verge of divorce a middle-aged couple each involved in a serious affair rethink their marriage and the meaning of love and fidelity.;2017;2019-11-05;98 min;2;6
81165326;Tune in for Love;A student and a reticent teen first meet at a bakery in the 1990s and try to find each other through the years as fate keeps pulling them apart.;2019;2019-11-05;123 min;2;4
81053961;Undercover Brother 2;When a beloved secret agent falls deep into a coma his bumbling brother must defend their community from a divisive political threat.;2019;2019-11-05;85 min;2;6
81142595;Voice;In this remake of the Korean thriller an esteemed detective and a talented cop join forces to nail the killer who took the lives of their loved ones.;2019;2019-11-05;1 Season;1;1
70209267;A Holiday Engagement;Hilary's plan to hire a good-looking guy to act as her boyfriend backfires when she brings him home for the holidays to try and fool her family.;2011;2019-11-04;92 min;2;2
70306305;Christmas Crush;Twentysomething Georgia pines for her old boyfriend and is thrilled to have a second chance at love when she attends their high school reunion.;2012;2019-11-04;87 min;2;5
70262831;Dear Santa;Finding a letter mailed to Santa by a girl asking for a new wife for her daddy twentysomething Crystal sets out to make the girl's wishes come true.;2011;2019-11-04;92 min;2;5
70113005;District 9;After years of segregation and forced labor a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.;2009;2019-11-04;112 min;2;6
70052286;Kicking and Screaming;"After graduating four college roomies – petrified by the prospect of facing ""real life"" – reluctantly step into adulthood in this ensemble comedy.";1995;2019-11-04;97 min;2;6
81200716;Meet the Adebanjos;In South London tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family.;2016;1900-01-01;3 Seasons;1;5
