show_id,genre_id
80198306,9
80202258,16
80057137,10
81045720,17
70236016,10
81069249,3
80207879,5
81083971,4
80200047,10
80156772,10
80117781,11
81016361,10
81055395,8
70077556,10
80994738,1
70100412,2
60021299,3
70129374,4
80167647,4
81002591,2
80123777,4
80109296,4
81017530,2
80092925,4
80094723,8
81010869,3
80188883,3
81045072,4
81010873,3
81010864,3
81010866,3
80175332,4
81047510,4
80011541,4
80065327,4
81010872,4
70123648,3
80177416,6
70127628,3
80050106,3
70167133,3
70039645,13
70278931,31
70305955,10
81051693,4
70299043,11
80002073,8
80021983,8
80002074,8
80136321,6
80191608,4
80992973,13
80007945,9
81026327,4
80224060,3
81027190,4
80094273,1
81071868,4
80081537,6
80186090,20
80013712,8
70292939,2
80057509,4
81041002,5
80236133,4
81069254,4
60031404,13
81031652,2
81024494,4
70176656,10
81027396,9
81057246,4
70295974,1
80013271,8
81004511,2
80989337,17
80159877,4
81043345,3
80208091,3
81052266,4
81067757,4
81015076,2
80095232,3
81067758,4
70002291,4
81050193,4
81067759,3
80045203,1
80188051,9
81043346,3
81045069,4
80216820,4
81026667,8
70056686,3
81067761,4
81045551,6
80992672,3
81050194,17
81045308,1
80186863,23
70109378,3
80993816,1
81043343,3
80988834,3
80192734,5
80204889,7
81071972,3
80244853,13
80215507,1
70118368,8
81074663,2
81012294,4
80241304,4
80131616,10
81020653,1
80142550,6
80117038,12
80153131,17
80991400,4
81059388,10
80231156,10
81031262,20
81002145,1
80095532,12
80191045,2
81029383,4
80241001,6
